OID,FID_,X,Y,BCE_Firth_
112,112,1823638.658476529,5899756.940567806,0.044425002
113,113,1823646.124133582,5899736.793265768,1.856375004
114,114,1823632.451636235,5899723.854764652,0.820466666
115,115,1823637.077368822,5899697.132571471,2.663450002
116,116,1823620.565061356,5899677.619143378,0.510612502
117,117,1823625.866796995,5899597.679248828,0.607444445
118,118,1823641.775866114,5899572.321251346,2.790862493
119,119,1823715.901226846,5899350.911648596,0.325199999
120,120,1803909.321279725,5899766.785858047,-0.5
121,121,1823777.070796697,5899244.556200517,0.137493675
122,122,1823756.826519086,5899235.116791313,1.684362501
123,123,1823728.590077226,5899225.888748645,0.837481031
124,124,1803863.374573607,5899707.361309889,-0.499950339
125,125,1803843.27264828,5899677.864463423,-0.498897559
126,126,1803826.640304501,5899654.085062806,-0.312099999
127,127,1823740.7965602,5899158.234717211,1.977065609
128,128,1823858.389492129,5898993.029444132,0.404024996
129,129,1804005.219616843,5899101.244938761,-0.070687503
130,130,1823959.982087129,5898601.314395708,1.898342374
131,131,1804000.382460761,5899066.454830302,-0.155296219
132,132,1803980.541179808,5899018.085591421,-0.304932148
133,133,1803952.424832003,5898976.101157105,-0.237586099
134,134,1803937.323442111,5898938.321958634,0.106294998
135,135,1803944.593401627,5898908.226511134,-0.5
136,136,1824063.851452836,5898000.262443492,-0.724571404
137,137,1804321.463891945,5898290.751725168,-0.265774991
138,138,1804304.639869608,5898256.251355182,0.145723269
139,139,1824111.699149884,5897709.516772592,-0.190792459
140,140,1804295.565565157,5898211.590297385,0.32382773
141,141,1824103.234044708,5897669.841007733,0.396599997
142,142,1824102.705555019,5897649.90493138,1.074849998
143,143,1824102.177063119,5897629.968854539,1.94310004
144,144,1824086.514053427,5897620.40901296,1.12905882
145,145,1824093.657868986,5897610.244602799,2.225874989
146,146,1804265.873838695,5898113.657052447,0.395047553
147,147,1824074.175522723,5897581.323559578,2.094085878
148,148,1824063.125678909,5897564.503722012,2.042433317
149,149,1804267.861439571,5898057.67187563,-0.262512504
150,150,1824050.581906062,5897541.713690937,2.314205957
151,151,1824008.059608968,5897487.518949038,2.326758559
152,152,1824014.605708221,5897426.693252504,2.183867235
153,153,1823992.486871867,5897413.425168932,1.433417743
154,154,1823980.23698609,5897403.774722208,0.474650004
155,155,1823951.477967483,5897374.611596198,-0.226692306
156,156,1823918.147595071,5897332.162005966,1.886579614
157,157,1823891.727726604,5897295.526303285,2.574858068
158,158,1823844.488878083,5897237.795083143,0.195339615
159,159,1823835.36873077,5897217.359200446,0.035111112
160,160,1823843.114318916,5897207.906400703,0.651562499
